Site Terminating Status Cookies HTTPOnly Secure SameSite Strict Lax None Path  
ria.ru HTTP/1.1 200 0 0 0 0 0 0 0 0
samsung.com HTTP/1.1 200 7 0 1 1 0 0 1 /
scoop.it HTTP/1.1 200 2 0 1 1 0 0 1 /
secureserver.net HTTP/1.1 404 2 0 2 2 0 0 2 /
shutterstock.com HTTP/1.1 301 0 0 0 0 0 0 0 0
sites.google.com HTTP/1.1 200 1 1 1 0 0 0 0 /
smh.com.au HTTP/1.1 200 0 0 0 0 0 0 0 0
snapchat.com HTTP/1.1 302 0 0 0 0 0 0 0 0
so-net.ne.jp HTTP/1.1 200 0 0 0 0 0 0 0 0
steampowered.com HTTP/1.1 200 3 0 3 3 0 0 3 /
storage.googleapis.com HTTP/1.1 400 0 0 0 0 0 0 0 0
terra.com.br HTTP/1.1 200 2 0 2 0 0 0 0 /
tools.google.com HTTP/1.1 200 0 0 0 0 0 0 0 0
tripadvisor.com HTTP/1.1 200 0 0 0 0 0 0 0 0
twitter.com HTTP/1.1 200 4 0 4 4 0 0 4 /
urbandictionary.com HTTP/1.1 200 0 0 0 0 0 0 0 0
