"Rank","Root Domain","Linking Root Domains","Domain Authority"
"118","4shared.com","505,565","94"
"119","rt.com","226,465","94"
"120","huffingtonpost.com","855,449","94"
"121","abcnews.go.com","464,149","94"
"122","news.yahoo.com","569,847","94"
"123","amazon.co.uk","622,574","94"
"124","ebay.com","864,540","94"
"125","techcrunch.com","382,455","94"
"126","telegram.me","273,366","94"
"127","it.wikipedia.org","277,374","94"
"128","myaccount.google.com","259,842","94"
"129","un.org","420,319","94"
"130","google.fr","383,995","94"
"131","tinyurl.com","1,245,532","94"
"132","photos.google.com","234,152","94"
"133","id.wikipedia.org","411,115","94"
"134","www.gov.uk","480,289","94"
"135","mediafire.com","760,307","94"
"136","archive.org","881,677","94"
"137","files.wordpress.com","1,978,374","94"
"138","scribd.com","646,542","94"
"139","booking.com","348,221","94"
"140","usatoday.com","630,429","94"
"141","youronlinechoices.com","496,276","94"
"142","cnet.com","546,251","94"
"143","ok.ru","332,138","94"
"144","fandom.com","429,310","94"
"145","google.it","406,866","94"
"146","cdc.gov","643,107","94"
"147","themeforest.net","500,708","94"
"148","afternic.com","1,753,873","94"
"149","lefigaro.fr","184,399","94"
"150","www.wikipedia.org","509,898","94"
"151","harvard.edu","576,074","94"
"152","dailymail.co.uk","764,473","94"
"153","buydomains.com","1,113,378","94"
"154","tools.google.com","1,439,637","94"
"155","google.ru","182,383","94"
"156","foxnews.com","445,083","94"
"157","rakuten.co.jp","576,823","94"
"158","samsung.com","297,422","94"
"159","twitter.com","48,609,813","94"
"160","books.google.com","339,059","94"
"161","draft.blogger.com","10,189,708","94"
"162","search.google.com","1,044,343","94"
"163","terra.com.br","183,730","94"
"164","abril.com.br","221,611","94"
"165","amazon.de","486,560","94"
"166","office.com","347,264","94"
"167","ft.com","345,819","94"
"168","cpanel.com","1,198,318","94"
"169","gofundme.com","267,761","93"
"170","umich.edu","283,325","93"
"171","cornell.edu","364,307","93"
"172","ytimg.com","257,311","93"
"173","chicagotribune.com","291,744","93"
"174","abc.es","154,367","93"
"175","theglobeandmail.com","214,388","93"
"176","metro.co.uk","171,390","93"
"177","bloglovin.com","449,739","93"
"178","urbandictionary.com","202,514","93"
"179","nikkei.com","188,243","93"
"180","my.yahoo.com","1,141,826","93"
"181","privacyshield.gov","394,049","93"
"182","ggpht.com","571,119","93"
"183","shutterstock.com","250,631","93"
"184","google.nl","225,526","93"
"185","pixabay.com","294,477","93"
"186","enable-javascript.com","1,549,732","93"
"187","allaboutcookies.org","331,579","93"
"188","yandex.ru","932,062","93"
"189","lemonde.fr","221,204","93"
"190","goo.ne.jp","294,165","93"
"191","dw.com","218,860","93"
"192","cambridge.org","220,154","93"
"193","columbia.edu","268,534","93"
"194","addtoany.com","718,819","93"
"195","code.google.com","312,146","93"
"196","instagram.com","21,570,938","93"
"197","imageshack.us","779,422","93"
"198","researchgate.net","320,267","93"
"199","over-blog-kiwi.com","178,219","93"
"200","ea.com","152,610","93"
"201","kickstarter.com","396,963","93"
"202","ikea.com","258,547","93"
"203","quora.com","303,716","93"
"204","npr.org","588,299","93"
"205","google.com.tw","135,897","93"
"206","gizmodo.com","341,333","93"
"207","list-manage.com","653,943","93"
"208","rapidshare.com","278,181","93"
"209","weibo.com","1,456,467","93"
"210","ted.com","472,665","93"
"211","spiegel.de","260,641","93"
"212","nypost.com","277,153","93"
"213","rottentomatoes.com","192,469","93"
"214","photobucket.com","1,574,769","93"
"215","mozilla.com","193,835","93"
"216","noaa.gov","277,720","93"
"217","playstation.com","178,602","93"
"218","yahoo.co.jp","610,779","93"
"219","bp2.blogger.com","521,078","93"
"220","britannica.com","266,235","93"
"221","google.co.in","243,671","93"
"222","chaturbate.com","125,366","93"
"223","buzzfeed.com","438,963","93"
"224","brandbucket.com","364,971","93"
"225","ovh.com","439,606","93"
"226","groups.google.com","296,491","93"
"227","nokia.com","154,052","93"
"228","goodreads.com","670,914","93"
"229","nationalgeographic.com","522,603","93"
"230","sapo.pt","203,254","93"
"231","photos1.blogger.com","821,143","93"
"232","vice.com","300,371","93"
"233","secureserver.net","1,018,946","93"
"234","instructables.com","271,319","93"
"235","hp.com","379,083","93"
"236","ietf.org","332,889","93"
"237","theatlantic.com","416,637","93"
"238","amazon.es","149,165","93"
"239","oup.com","302,432","93"
"240","stackoverflow.com","282,321","93"
"241","ovh.co.uk","491,664","93"
"242","wp.com","909,154","93"
"243","yale.edu","269,708","93"
"244","depositfiles.com","138,376","93"
"245","netvibes.com","1,159,502","93"
"246","sputniknews.com","133,907","93"
"247","m.wikipedia.org","225,190","93"
"248","bandcamp.com","504,441","93"
"249","economist.com","297,551","93"
"250","ovh.net","636,100","93"
"251","newsweek.com","241,011","93"
"252","sciencedaily.com","283,193","93"
"253","walmart.com","263,782","93"
"254","washington.edu","300,827","93"
"255","asus.com","135,524","93"
"256","finance.yahoo.com","367,743","93"
"257","ign.com","228,894","93"
"258","unesco.org","250,541","93"
"259","abc.net.au","317,602","93"
"260","ibm.com","428,653","93"
"261","sedo.com","2,688,330","93"
"262","ziddu.com","166,317","93"
"263","adssettings.google.com","285,462","93"
